,0
1941,good
1942,"really, really good, I loved it so much"
1943,vewy god gama
1944,Good shit
1945,Good
1946,Good game to play when ypu feel bored !
1947,my vac is terrible please fix or else i sue
1948,yeah.
1949,its fun
1950,bad game full of cheaters
1951,Great game
1952,"---{ Graphics }---
☐ You forget what reality is
☐ Beautiful
☐ Good
☑ Decent
☐ Bad
☐ Don‘t look too long at it
☐ MS-DOS

---{ Gameplay }---
☑ Very good
☐ Good
☐ It's just gameplay
☐ Mehh
☐ Watch paint dry instead
☐ Just don't

---{ Audio }---
☐ Eargasm
☑ Very good
☐ Good
☐ Not too bad
☐ Bad
☐ I'm now deaf

---{ Audience }---
☐ Kids
☑ Teens
☑ Adults
☐ Grandma

---{ PC Requirements }---
☐ Check if you can run paint
☐ Potato
☑ Decent
☐ Fast
☐ Rich boi
☐ Ask NASA if they have a spare computer

---{ Difficulty }---
☐ Just press 'W'
☐ Easy
☑ Easy to learn / Hard to master
☐ Significant brain usage
☐ Difficult
☐ Dark Souls

---{ Grind }---
☐ Nothing to grind
☐ Only if u care about leaderboards/ranks
☐ Isn't necessary to progress
☑ Average grind level
☐ Too much grind
☐ You'll need a second life for grinding

---{ Story }---
☐ No Story
☑ Some lore
☐ Average
☐ Good
☐ Lovely
☐ It'll replace your life

---{ Game Time }---
☐ Long enough for a cup of coffee
☐ Short
☐ Average
☐ Long
☑ To infinity and beyond

---{ Price }---
☑ It's free!
☐ Worth the price
☐ If it's on sale
☐ If u have some spare money left
☐ Not recommended
☐ You could also just burn your money

---{ Bugs }---
☐ Never heard of
☑ Minor bugs
☐ Can get annoying
☐ ARK: Survival Evolved
☐ The game itself is a big terrarium for bugs

---{ ? / 10 }---
☐ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☐ 7
☑ 8
☐ 9
☐ 10


Grab this review template here! 👉 https://vojtastruhar.github.io/steam-review-template/
"
1953,THIS GAME HAS THE WORST FUCKING RANKING SISTEM I SUGGEST GABEN  TO FUCKING KILL HIMSELF FUCKING DOG SHIT GAME
1954,good
1955,5 bitches on my dick
1956,If u like Russians and Toxic Teammates choose this game <3
1957,So much difference between other fps game
1958,":D
"
1959,Good time stealer PASOL PUTIN
1960,Anubis best map 100%
1961,"Noice

"
1962,BASED
1963,good game
1964,it`s a good game
1965,It's a very nice and fun to play game.
1966,good game
1967,ok
1968,nice
1969,yes i like it
1970,`1
1971,good fps shooter
1972,es fun
1973,good
1974,its old as hell with a huge player base.  need i say more?
1975,yes
1976,"It’s the kind of game you’ll immediately want to replay again from the beginning.. Amazing
The hours spent playing this masterpiece were the perfect encapsulation of why videogaming is such a favourite waste of time for so many of us. 
A brilliant game in every facet of its design and execution, with not a single dull moment in the lot.
"
1977,wow
1978,i like this game
1979,dute-n pula mea de joc
1980,"DON'T PLAY THIS GAME ALONE JUST TRUST ME DON'T DO THIS YOU ARE GONNA HAVE SOME SERIOUS MENTAL PROBLEMS LOOK AT ME 850H IN THIS GAME AND I'M MG2 .
!!THIS IS A MESSAGE FOR HELP!!


10/10 i love this game"
1981,...
1982,10/10 suka blayt
1983,mmmmhmmm
1984,"NICEEZ
"
1985,good but sometimes trash tm8s
1986,"After 100 hours I knew the basics of the game and the guns available
After 200 hours I threw away the knowledge of all guns and sprayed the P90
After 300 hours I clicked on people's heads with an SG
After 400 hours I was bad and abandoned ranked
After 500 hours I played wingman on Lake
After 600 hours I partook in an additional mild quantity of the winged male upon the realm by the Lake"
1987,"Its Damn Good And Its Free

"
1988,Its Cool
1989,i love this game
1990,best game
1991,sämst
1992,BEST GAEM IMLOV THIS WOOOOWW RUSIA BRODER IM SO INLOVE BEST GAEM
1993,Good
1994,"mucho bueno video jeugo
"
1995,Trash game
1996,nice
1997,hackers
1998,"great game, been playing since 1.4.     i still stink."
1999,"love and hate relationship, like every man i have encountered in my life"
2000,"i like this GAME
 who like this game award me"
2001,great
2002,tihs game hsa ruiend all of my ffirendship and my wife no longer loves me
2003,.
2004,1
2005,still an amazing game
2006,<3!
2007,they do not speak english
2008,FUCK THIS GAME. Play BeamNG.
2009,kynäri on mun laji
2010,Sometimes is shit sometime is good
2011,shit game
2012,i recomend it its a great simulator
2013,play it or I will play it for u
2014,.
2015,headshot sounds are really loud.
2016,"I lost all my money on cases but it was fun :)
Recommend"
2017,gg
2018,"cc
"
2019,"yes
"
2020,"THANKS TO TEAM VALVE FOR MAKING SUCH A GOOD GAME :)
AND DEATHWRATH BHAI FOR MAKING ME LEVEL 4 SO THAT I CAN COMPLIMENT TEAM VALVE 
VALVE BETA THANKS BOLO"
2021,Good game
2022,good game but dont open case if ur thinking that case made profit
2023,garbage
2024,"Gotten many aneurysm playing this game, 10/10"
2025,"Scary
"
2026,.
2027,Adding skins for 5 years and doing absolutely nothing to improve the game. 9 softers in game out of 10
2028,good game
2029,"rlly good
"
2030,xP
2031,tg
2032,I love it.
2033,yes sir!
2034,"Good game, ME LIKE"
2035,Misto
2036,"im loving this, i get to smash my table each day, honorable experience and if you've never tried this, youre a fuckin faggot
"
2037,good
2038,the best game
2039,i
2040,oooo
2041,This game is just too good unlike that valorant game
2042,Kai Tamashia
2043,Great Game :)
2044,jebać to gówno jebane usuncie to z tego hujstwa
2045,Sick people playing this game what is the CS community gonna do about hateful comments and hate speech
2046,not bad.
2047,fuckd my life like a driiink as usal
2048,Best game
2049,sucks! no good full of chink who sit around all day and eat mi goreng while one tapping me with their filthy fish sauce covered hands.
2050,nerf negev
2051,"FULL OF HACKERS
"
2052,nice
2053,.
2054,"Definitely recommend, skill based , Prime is needed for ranks and xp, Prime cost money but It is recommended, It makes sure you play with legit players who are willing to spend money which shows they are not hackers, without Prime it is no stats"
2055,Do i need to explain myself? IT*S AMAZING (also i'm currently addicted to opening cases)
2056,nice
2057,naice
2058,"Used to be fun. It always had something of a cheater problem. But after going FTP, it's nothing but that now. Ruins it for normies who don't use cheats. :("
2059,its csgo
2060,good game
2061,Perfect.
2062,Dovy gejus
2063,Good game
2064,great f2p game. hone your skill as you play and it is really fun to play with friends!
2065,nike
2066,After 5k hours I still suck at this game. 100% would recommend
2067,Very enjoying game
2068,good <3
2069,gren gren what is yor problem
2070,good game
2071,"If you love being shat on by a skinny twelvey this is the game for you, if you love gambling this is the game for you :)"
2072,ha ra meravi prog
2073,"¨k
"
2074,ok
2075,sometimes maybe good sometimes maybe shit
2076,this is a skill nedded game but its a cool game
2077,👍👍👍
2078,epic
2079,GAME GAADA AKHLAK BIKIN MENTAL NAIK TURUN
2080,Helt rått
2081,Good Game my Zmall Acc
2082,"my best
"
2083,NICEEEEEEE
2084,very nice game
2085,good
2086,toxic community
2087,крутая игра если не играть
2088,i love the game u dont have to spend any money on the game to enjoy it i like it as it is
2089,"I mean,it is okay but it sucks at the same time"
2090,nice
2091,I have mixed feelings about this one not gonna lie.
2092,Very Cool Shoot.
2093,this game will make your brain damage
2094,this game cured my depression
2095,"If you ever wondered what the Ninth Circle of Hell looks like, try playing ranked in this clown fiesta of a game."
2096,"Very good game, 
I drew a cat on a wall and someone called it cute.
10/10 vey skill game"
2097,"bruh
"
2098,bharwon ache hojao
2099,gr ate 111 :)
2100,6b h7n
2101,good
2102,GSYRG
2103,hard game but i liked
2104,its good
2105,awesome
2106,š
2107,damn this would be a good game if steam actually cared about the cheaters
2108,"<3
"
2109,Toxic as! Love it!
2110,"Brilliant game, high skill ceiling, hours of fun (sometimes)."
2111,"good but i lost brain cells
"
2112,good
2113,"गेम बहुत हीं अच्छा है पर हैकर्स बोहोत हो गए हैं।  वैल्व को कुछ करना चाहिए ताकि हैकर्स कम हो।  जैसे की एंटीचीट को अपडेट करना हार्डवेयर बैन करना ताकी दोबारा हैक करने से पहले लोग सोचे।  पर इन भोसड़ीवालो को कोई मतलब नहीं है इस से।  
इसीलिए बोहोत अच्छे प्लेयर्स भी हैक करने लगे है। बाकी गेम बहुत अच्छा है ७/१० | ३ हैकर्स की वजह से कम नहीं तो १० रेट करता। 

किसी को कोई परेशानी हो तो कमेंट में ज़रूर बताएं। 

।। जय श्री राम ।।"
2114,"good game
"
2115,No
2116,.
2117,great
2118,good
2119,very nice good for russians
2120,Very good game
2121,the best game ever!
2122,"no
don t play"
2123,yes
2124,Best game for rage =))
2125,Really nice game
2126,"I am a 44 year old father, probably one of the oldest people playing this game. I am a single father to my son, who is now 14. My son recently started Counter Strike Global Offensive and in less than a week, he had already played for over 20 hours. This was terrible for me, as it was already hard enough for me to spend time with my son, as he is always out with his friends or just watching videos on Tiktok. So i decided to make a Steam account and get this game to see if I could maybe play alongside him. I loaded into the game, did the tutorial but I was stuck on what you where supposed to do. I asked my Son for help and he hosted a game for me to join. I loved it as it was the best time I had spent with my Son since my wife had died. This game has ever since brought my son and I closer again and now we actually spend time together outside the house as well. This game reminded me that there's fun to be had in everything, and it has brought both me and my Son many happy memories."
2127,I like playing the game and having fun ☺
2128,Chupapimuñaño. Best game ever
2129,great competitve game
2130,fsfs
2131,ввыфв231у134123412345йц3кфы
2132,yres
2133,goooooooooooooooooooooooooooooooood
2134,cool but gay
2135,i keep dying what's going on can anyone help me with this
2136,"I like the game because it's very competitive, but the community and most people that play it are bad people sadly. This is no fault of the game, but sadly toxic players make it less enjoyable at times. I recommend emphasizing good sportsmanship to improve the community."
2137,"I die, I cried, I repeat."
2138,Nice game
2139,s
2140,"broken game
"
2141,Cs>all
2142,fun game hard to master
2143,"It is fun after you get the hang of it
"
2144,Cool game
2145,"amazing game
"
2146,"very good i love russia
"
2147,best game for those who cant afford paid games i am a paid gamer but i seriously liked csgo
2148,"Hello. My name is Walter White.
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠿⠿⠿⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⠟⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠉⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢺⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠆⠜⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⠿⠿⠛⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠻⣿⣿⣿⣿⣿
⣿⣿⡏⠁⠀⠀⠀⠀⠀⣀⣠⣤⣤⣶⣶⣶⣶⣶⣦⣤⡄⠀⠀⠀⠀⢀⣴⣿⣿⣿⣿⣿
⣿⣿⣷⣄⠀⠀⠀⢠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢿⡧⠇⢀⣤⣶⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣾⣮⣭⣿⡻⣽⣒⠀⣤⣜⣭⠐⢐⣒⠢⢰⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣏⣿⣿⣿⣿⣿⣿⡟⣾⣿⠂⢈⢿⣷⣞⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣽⣿⣿⣷⣶⣾⡿⠿⣿⠗⠈⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠻⠋⠉⠑⠀⠀⢘⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⡿⠟⢹⣿⣿⡇⢀⣶⣶⠴⠶⠀⠀⢽⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⡿⠀⠀⢸⣿⣿⠀⠀⠣⠀⠀⠀⠀⠀⡟⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⡿⠟⠋⠀⠀⠀⠀⠹⣿⣧⣀⠀⠀⠀⠀⡀⣴⠁⢘⡙⢿⣿⣿⣿⣿⣿⣿⣿⣿
⠉⠉⠁⠀⠀⠀⠀⠀⠀⠀⠀⠈⠙⢿⠗⠂⠄⠀⣴⡟⠀⠀⡃⠀⠉⠉⠟⡿⣿⣿⣿⣿
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢷⠾⠛⠂⢹⠀⠀⠀⢡⠀⠀⠀⠀⠀⠙⠛⠿⢿
Jesse and I rate this game 9/11."
2149,"Really fun, feel like the market is what is keeping it alive but non the less its very fun, not a lot of people speak English though so it can be difficult to understand your teammates, also a lot of hackers but they usually get banned quick."
2150,great game
2151,best game okok
2152,its fine
2153,should probably spend your time on other things
2154,ano
2155,Decent little game by decent little devs
2156,love this fucking game man
2157,":)
"
2158,SLAYYYYYYYYYYYYYYYYYYY
2159,its good
2160,Dogshit game
2161,i like the game but please remove scar and g3s
2162,"Things CS gave me after 2500 hours:
- Depression 
- Bankruptcy
- Nicotine Addiction

Things I gave CS:
- Just south of 20k
"
2163,i have more fps
2164,Sigue siendo igual de injugable
2165,lovely game
2166,w game tbh i can shoot 9/11 ppl
2167,praying
2168,"great game
"
2169,"456 hours of game time, but still i can't play..."
2170,yes
2171,Good Game to play with the bros
2172,"hellp me i fucking hate this game aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa 8===D
"
2173,"Ah, the good ol' Counter Strike: It's Russia Time. When Valve created this game in the prehistoric days, comrade Gabe asked to the russians ""Aye comrades, want a russian game?"" to which the russians replied ""Da, comrade Walter White"" and so comrade Gabe and his staffs made the game and released the game. It became a global success because the game mechanics offer you the most russian game than any other russian type game, You can hear people speak russian every second. You can speak, walk, shoot, swim and drink like a russian. It is truly one of the russian of all time. I would humbly rate this game a russian out of 5. Putin would be proud."
2174,skin good
2175,Awesome!
2176,"GOOD SIMPLE GAME
"
2177,John Wilkes Booth DON´T MISS game 2 ez
2178,Don't like it
2179,"im sad now
"
2180,fun to game
2181,I SACRIFICE MY LIFE FOR PAKISTAN ------- GRRAAAAAAAAAAAAAAPE
2182,Bro it's CS:GO... 'Nuff said.
2183,the game
2184,good
2185,worst game ever at least its free
2186,TO MANY CHETERS
2187,.
2188,:) good game
2189,wat
2190,ok
2191,good game
2192,spend 250$ on cases and have like 60$ worth of skins i love this game
2193,.
2194,better than valorant no cap
2195,I love. This game. So. Much.
2196,"178 hours and I still suck, give it a go!"
2197,the best
2198,Love It
2199,I have been playing CS for more than 10 years and I love CSGO. I recommend!
2200,Not shit.
2201,Very difficult
2202,"good game fun,fuck timeouts tho"
2203,fun to bs in
2204,i would rather play valorant
2205,"Worst game I've ever played, literally my favorite game of all time. 10/10 will probably never stop playing,"
2206,Still a masterpiece....
2207,"It's CSGO, you can't go wrong with anything except the community"
2208,Dont buy unless you have some sort of aimbot thing or friends. Cause otherwise every ranked game you go in you will get one tapped by hackers and people who double as bullet sponges
2209,1/10 bad game
2210,it good
2211,i like it but i cant play it no more because it does not launch from steam
2212,very fun
2213,"gud
"
2214,"im feeling a bit sucidal, so i hop on csgo with the bois to pull that last string"
2215,the matchmaking on this game was invented by an autistic child with an ipad!
2216,[epepepep
2217,"this game fucking sucks, 8/10"
2218,No need for any review. Everyone knows its awesome :)
2219,Its easy to play + its pretty fun
2220,Fun game better than valorant
2221,nig
2222,gud game
2223,very good
2224,yes
2225,full
2226,"it's really fun
"
2227,pp
2228,Not bad
2229,"So many cheater, Open your eyes VALVE."
2230,lksdfknadFknADF
2231,fun game
2232,m
2233,"The game is fine overall has good mechanics but also has a fairly toxic user base, still would recommend"
2234,smurf
2235,.
2236,im to deep in to stop playing
2237,-russians
2238,funny ak47 go BRRRRR
2239,don't. it's too late...
2240,good
2241,"Fun game, Very toxic peopls"
2242,A
2243,The game is fun to play
2244,big poop
2245,good game
2246,good game
2247,3wasxercdftvgy
2248,nice game
2249,I like shoot headshot
2250,amazing
2251,it good
2252,makes me want to die
2253,hate myself ong
2254,Download this game and play it if you play valorant uninstall it and get this instead
2255,Deez nutz
2256,cs go is life
2257," CSGO COMMUNITYIS NOTHING BUT BEING TOXIC GRIEFING AND NON TEAM PLAYER CSGO EVERY YEARS GETS WORST AND WORST EVERY MATCH PEOPLE BEING RACIST OR TREATING OTHER IN HUMAN DISGUSTING LETS JUST SAY 80%.  
 I CAN SAY I PLAYED WITH PEOPLE THAT ARE NICE BUT MAN OUT OF 20 GAMES IN A DAY 1 GOOD SQUAD IN A GAME ALL OTHER NOTHING BUT TOXCITY CANT EVEN RANK UP BECAUSE OF PEOPLE THROWING AND GREIFING."
2258,"⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠿⠿⠿⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⠟⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠉⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢺⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠆⠜⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⠿⠿⠛⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠻⣿⣿⣿⣿⣿
⣿⣿⡏⠁⠀⠀⠀⠀⠀⣀⣠⣤⣤⣶⣶⣶⣶⣶⣦⣤⡄⠀⠀⠀⠀⢀⣴⣿⣿⣿⣿⣿
⣿⣿⣷⣄⠀⠀⠀⢠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢿⡧⠇⢀⣤⣶⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣾⣮⣭⣿⡻⣽⣒⠀⣤⣜⣭⠐⢐⣒⠢⢰⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣏⣿⣿⣿⣿⣿⣿⡟⣾⣿⠂⢈⢿⣷⣞⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣽⣿⣿⣷⣶⣾⡿⠿⣿⠗⠈⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠻⠋⠉⠑⠀⠀⢘⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⡿⠟⢹⣿⣿⡇⢀⣶⣶⠴⠶⠀⠀⢽⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⡿⠀⠀⢸⣿⣿⠀⠀⠣⠀⠀⠀⠀⠀⡟⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⡿⠟⠋⠀⠀⠀⠀⠹⣿⣧⣀⠀⠀⠀⠀⡀⣴⠁⢘⡙⢿⣿⣿⣿⣿⣿⣿⣿⣿
⠉⠉⠁⠀⠀⠀⠀⠀⠀⠀⠀⠈⠙⢿⠗⠂⠄⠀⣴⡟⠀⠀⡃⠀⠉⠉⠟⡿⣿⣿⣿⣿
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢷⠾⠛⠂⢹⠀⠀⠀⢡⠀⠀⠀⠀⠀⠙⠛⠿⢿"
2259,yessir its good
2260,peak
2261,its a good game
2262,Its fun becuase you can kill terroists and also be terroists and bomb places its pretty rad
2263,Best fps game in the world
2264,swdfaswda
2265,good game
2266,"dont guy
"
2267,good game
2268,xd
2269,it good
2270,very good. i played cs before and this is a improve version of it. good job
2271,"SI
"
2272,pew
2273,Just do it!
2274,There is no better feeling in life than going into a competitive game and getting carried by a 12 year old
2275,So crayzi men!
2276,it s funny
2277,is god game
2278,"cagada, esta lleno de hackers."
2279,"109775244888397881
"
2280,"addicting
"
2281,"gg
"
2282,yes
2283,this is a great game and i recommend surfing.
2284,GOOD
2285,fun
2286,i found my wife on this game
2287,"I am a 50 year old father, probably one of the oldest people playing this game. I am a single father to my son, who is now 14. My son recently downloaded Counter Strike and in less than a week, he had already played for over 20 hours. This was terrible for me, as it was already hard enough for me to spend time with my son, as he is always out with his friends or just watching videos on Tiktok. So I decided to make a Steam account and get this game to see if I could maybe play alongside him. I loaded into the game, did the tutorial but I was stuck on what you where supposed to do. I asked my Son for help and he hosted a game for me to join. I loved it as it was the best time I had spent with my Son since my wife had died. This game has ever since brought my son and I closer again and now we actually spend time together outside the house as well. This game reminded me that there's fun to be had in everything, and it has brought both me and my Son many happy memories."
2288,dfss
2289,"This game is very good yes
"
2290,love this game found my Russian girlfriend on here and she got all kinds of nice sugary walls
2291,no
2292,"Dis game better than valorant.
No e-daters
Good team8s
Best community 
All arond the best fps of all time"
2293,good game
2294,"Zurio sam, nisam bezao ako na to mislite"
2295,"Awesome shooter, fun classic! Beware of KID KID KID ULULULULU RIARIARIARIARIARIAR!"
2296,.
2297,"It is not easy is which i like, you have to have skill to play this game"
2298,verigoodgameveribjutiflskins
2299,yes - some russian
2300,it is fun
2301,its good a shooting game
2302,"GOOD
"
2303,.
2304,"Hello, I have a problem that every account I buy, the trust factor account is red, no matter what you say, please help me."
2305,"sled skapanata rekalibraciq na tupite rankowe brat postoqnno smurfowe, postoqnno gluposti oprawete si shibanata igra pedali mrusni tupiri smotani da vi izsuhne vsichko osven praneto!!!
"
2306,game is too easy im the best csgo player evar
2307,guns r funny
2308,11 years of time wasted - recommended
2309,k
2310,Class
2311,10/10
2312,good
2313,"I hate this game, only cheaters..."
2314,:)
2315,e
2316,really good game just have to work on the hackers
2317,Best gun sound
2318,.
2319,"played with my friend who griefs half of the time now i went from mge to gn2 and i genuinely cant stand playing with silvers

10/10"
2320,I counter and I strike
2321,hey baby are you a microwave? because mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
2322,"TOP
"
2323,good game
2324,This game is very beautiful. Thank you gaben for this masterpiece!
2325,sexy
2326,csgo cool
2327,"So this games good, ive enjoyed the comp, but why have a cooldown, 24 hours just as i was having fun, wtf"
2328,Veri Nice
2329,"10/10 hate the game, dead in NA, cant stop playing it anyway."
2330,Ojh yeaaa fck my daddy
2331,GG
2332,":)
"
2333,"its fun
"
2334,"
can you ladies put away kick 7 yes I wasn't kicked because I didn't kill anyone and you from the opposite team were dying on them and I couldn't find them and now I can't play cs go because of 4 characters who got annoyed and the result is was me I think 10/0 for us 10 for them 0 please help me"
2335,cool
2336,best game ever
2337,niboloiko
2338,9
2339,"george floyd
"
2340,As an experienced professional player (As you can see by my hours) I heavily recommend you to play this game.
2341,extraordinar
2342,Good game
2343,"nice game
"
2344,GSMING
2345,i love gambling
2346,knif gam
2347,Its alright
2348,This game is so much easier than Valorant at least in my opinion the aim is trickier though which I like this game is certainly more enjoyable than Valorant at least for me and I'm Diamond 3 in Valorant so take my word for it
